rank,trial_number,value,state,datetime_start,datetime_complete,duration_seconds,param_algorithm.lr,param_algorithm.clip_ratio,param_algorithm.entropy_coef
1,16,500.0,COMPLETE,2025-09-05T05:03:19.405477,2025-09-05T05:03:24.805383,5.399906,0.0006506676052501415,0.12789877213040837,0.02
2,17,500.0,COMPLETE,2025-09-05T05:03:24.808929,2025-09-05T05:03:30.229460,5.420531,0.0008066583652537122,0.13993475643167194,0.01
3,18,500.0,COMPLETE,2025-09-05T05:03:30.233205,2025-09-05T05:03:35.637291,5.404086,0.0006467903667112945,0.1341048247374583,0.02
4,19,500.0,COMPLETE,2025-09-05T05:03:35.640589,2025-09-05T05:03:41.071589,5.431,0.000827557613304815,0.16092275383467414,0.01
5,21,500.0,COMPLETE,2025-09-05T05:03:46.443467,2025-09-05T05:03:51.862799,5.419332,0.0006962700559185838,0.1623422152178822,0.01
6,15,496.3333333333333,COMPLETE,2025-09-05T05:03:13.943070,2025-09-05T05:03:19.402281,5.459211,0.00026506405886809044,0.16084844859190756,0.0
7,13,367.0,COMPLETE,2025-09-05T05:03:02.537196,2025-09-05T05:03:08.303829,5.766633,0.00024039506830258239,0.1116167224336399,0.0
8,14,346.0,COMPLETE,2025-09-05T05:03:08.307224,2025-09-05T05:03:13.939765,5.632541,0.00011852604486622221,0.2939819704323989,0.0
9,12,293.0,COMPLETE,2025-09-05T05:02:53.625488,2025-09-05T05:03:02.533482,8.907994,0.00043708610696262625,0.29014286128198324,0.0
10,2,-inf,COMPLETE,2025-09-05T05:01:05.686275,2025-09-05T05:01:05.724850,0.038575,0.00043708610696262625,0.29014286128198324,0.0
